Title,IMDB id,Year,Rating,Genre,Top_cast
"Carry On, Munna Bhai",tt0456144,2006,8,"Comedy, Drama, Romance"," Sanjay Dutt, Arshad Warsi, Vidya Balan  "
Vishwaroopam,tt2199711,2013,7.9,"Action, Thriller"," Kamal Haasan, Rahul Bose, Shekhar Kapur  "
Raees,tt3405236,2017,6.7,"Action, Crime, Drama","Shah Rukh Khan, Sunny Leone, Nawazuddin Siddiqui  "
Talaash: The Answer Lies Within,tt1787988,2012,7.2,"Crime, Drama, Mystery, Thriller"," Aamir Khan, Rani Mukerji, Kareena Kapoor  "
Vicky Donor,tt1787988,2012,7.8,"Comedy, Romance","Ayushmann Khurrana, Yami Gautam, Annu Kapoor  "
Ra.One,tt1562871,2011,4.8," Action, Adventure, Sci-Fi"," Shah Rukh Khan, Arjun Rampal, Kareena Kapoor"
Om Shanti Om,tt21645950,2007,6.7,"Action, Comedy, Drama, Fantasy, Musical, Roman...","Shah Rukh Khan, Arjun Rampal, Kirron Kher  "
Rockstar,tt1839596,2011,7.7,"Drama, Music, Romance","Ranbir Kapoor, Nargis Fakhri, Shammi Kapoor  "
Devdas,tt8661814,2002,7.5," Drama, Musical, Romance","Shah Rukh Khan, Madhuri Dixit, Aishwarya Rai B...  "
Uri: The Surgical Strike,tt8291224,2019,8.2,"Action, Drama, History, War"," Vicky Kaushal, Paresh Rawal, Mohit Raina  "
Yeh Jawaani Hai Deewani,tt2178470,2013,7.2,"Comedy, Drama, Musical, Romance"," Ranbir Kapoor, Deepika Padukone, Aditya Roy Ka...  "
Sultan,tt4832640,2016,7,"Action, Drama, Romance, Sport","Salman Khan, Anushka Sharma, Randeep Hooda  "
Pink,tt0091790,1986,6.7,"Comedy, Drama, Romance","  Molly Ringwald, Harry Dean Stanton, Jon Cryer  "
Dear Zindagi,tt5946128,2016,7.4,"Drama, Romance"," Alia Bhatt, Shah Rukh Khan, Kunal Kapoor  "
Don,tt0461936,2013,6.5,"Comedy, Drama, Romance","Joseph Gordon-Levitt, Scarlett Johansson, Juli...  "
Happy New Year,tt2461132,2014,5,"Action, Comedy, Crime, Drama, Music"," Shah Rukh Khan, Deepika Padukone, Abhishek Bac...  "
Black,tt2085059,2011,8.7,"Drama, Mystery, Sci-Fi, Thriller","Wunmi Mosaku, Monica Dolan, Daniel Lapaine  "
English Vinglish,tt2181931,2012,7.8,"Comedy, Drama, Family","Sridevi, Adil Hussain, Mehdi Nebbou  "
Race 3,tt7431594,2018,1.9,"Action, Crime, Thriller"," Anil Kapoor, Salman Khan, Bobby Deol  "
Paan Singh Tomar,tt1620933,2012,8.2,"Action, Biography, Crime, Sport, Thriller","Irrfan Khan, Mahie Gill, Rajesh Abhay  "
Main Hoon Na,tt0347473,2004,7,"Action, Comedy, Drama, Musical, Romance, Thriller","Shah Rukh Khan, Sushmita Sen, Suniel Shetty  "
Dilwale,tt4535650,2015,5.1,"Action, Comedy, Drama, Romance"," Shah Rukh Khan, Kajol, Varun Dhawan "
