Title,IMDB id,Year,Rating,Genre,Top_cast
OMG: Oh My God!,tt2283748,2012,8.1,"Comedy, Drama, Fantasy","Paresh RawalKanji Lalji Mehta, Akshay KumarKrishna Vasudev Yadav, Mithun ChakrabortyLeeladhar Maharaj"
Veer Zara,tt0420332,2004,7.8,"Drama, Family, Musical","Shah Rukh KhanVeer Pratap Singh, Preity G ZintaZaara Hayaat Khan(as Preity Zinta), Rani MukerjiSaamiya Siddiqui"
Chennai Express,tt2112124,2013,6.1,"Action, Comedy, Drama","Deepika PadukoneMeenalochni 'Meenamma' Azhagusundaram, Shah Rukh KhanRahul Mithaiwala, SathyarajDurgeshwara 'Durgesh' Azhagusundaram (Meenamma's father)"
Kuch Kuch Hota Hai,tt0172684,1998,7.5,"Comedy, Drama, Musical","Shah Rukh KhanRahul Khanna, KajolAnjali Sharma, Rani MukerjiTina Malhotra(as Rani Mukherji)"
The Lunchbox,tt2350496,2013,7.8,"Drama, Romance","Irrfan KhanSaajan Fernandes, Nimrat KaurIla, Nawazuddin SiddiquiShaikh"
Jab We Met,tt1093370,2007,7.9,"Comedy, Drama, Romance","Shahid KapoorAditya D. Kashyap, Kareena KapoorGeet Kaur Dhillon, Tarun AroraAnshuman"
Sanju,tt6452574,2018,7.6,"Biography, Comedy, Drama","Ranbir KapoorSanjay Dutt 'Sanju', Paresh RawalSunil Dutt, Manisha KoiralaNargis Dutt"
Kabhi Khushi Kabhie Gham...,tt0248126,2001,7.4,"Drama, Musical, Romance","Shah Rukh KhanRahul Raichand, KajolAnjali Sharma, Amitabh BachchanYashvardhan Raichand"
Dhoom:3,tt1833673,2013,5.4,"Action, Crime, Drama","Aamir KhanSahir Khan…, Katrina KaifAaliya, Abhishek BachchanA.C.P. Jai Dixit"
A Match Made in Heaven,tt1182937,2008,7.2,"Comedy, Drama, Music","Shah Rukh KhanSurinder 'Suri' Sahni…, Anushka SharmaTaani Sahni, Vinay PathakBalwinder 'Bobby' Khosla"
Così fan tutte,tt0104014,1992,5.2,"Comedy, Drama","Claudia KollDiana, Paolo LanzaPaolo, Franco BranciaroliAlphonse"
Udaan,tt1639426,2010,8.1,Drama,"Rajat BarmechaRohan Singh, Ronit RoyBhairav Singh, Manjot SinghManinder Singh"
Lage Raho Munna Bhai,tt0456144,2006,8,"Comedy, Drama, Romance","Sanjay DuttMurli Prasad Sharma (Munna Bhai), Arshad WarsiSarkeshwar (Circuit), Vidya BalanRJ Jhanvi Sahni"
Vishwaroopam,tt2199711,2013,7.9,"Action, Thriller","Pooja KumarDr. Nirupama, Miles AndersonJohn Dawkins, Kamal HaasanVishwanathan…"
Raees,tt3405236,2017,6.7,"Action, Crime, Drama","Shah Rukh KhanRaees, Sunny LeoneLaila, Nawazuddin SiddiquiIPS Majmudar(as Nawazuddin Siddique)"
Talaash,tt1787988,2012,7.2,"Crime, Drama, Mystery","Aamir KhanSurjan Singh Shekhawat, Kareena KapoorRosie, Rani MukerjiRoshni Shekhawat"
Vicky Donor,tt2317337,2012,7.8,"Comedy, Romance","Ayushmann KhurranaVicky Arora, Yami GautamAshima Roy(as Yaami Gautam), Annu KapoorDr. Baldev Chaddha"
Ra.One,tt1562871,2011,4.8,"Action, Adventure, Sci-Fi","Shah Rukh KhanShekhar…, Arjun RampalRa.One, Kareena KapoorSonia S. Subramanium"
Ohm Shanti Ohm,tt1024943,2007,6.7,"Action, Comedy, Drama","Shah Rukh KhanOm Prakash Makhija…, Deepika PadukoneShantipriya…, Arjun RampalMukesh 'Mike' Mehra"
Rockstar,tt1839596,2011,7.7,"Drama, Music, Romance","Ranbir KapoorJanardan Jakhar…, Nargis FakhriHeer Kaur, Shammi KapoorUstad Jameel Khan"
Devdas,tt0238936,2002,7.5,"Drama, Musical, Romance","Shah Rukh KhanDevdas Mukherji(as Shahrukh Khan), Madhuri DixitChandramukhi, Aishwarya Rai BachchanParvati 'Paro'(as Aishwarya Rai)"
This Youth Is Crazy,tt2178470,2013,7.2,"Comedy, Drama, Musical","Ranbir KapoorKabir Thapar (Bunny), Deepika PadukoneNaina Talwar, Aditya Roy KapoorAvinash (Avi)"
Sultan,tt4832640,2016,7,"Action, Drama, Romance","Salman KhanSultan Ali Khan, Anushka SharmaAarfa, Randeep HoodaFateh Singh"
Pretty in Pink,tt0091790,1986,6.7,"Comedy, Drama, Romance","Molly RingwaldAndie, Jon CryerDuckie, Harry Dean StantonJack"
Dear Zindagi,tt5946128,2016,7.4,"Drama, Romance","Alia BhattKaira, Shah Rukh KhanDr. Jehangir Khan, Kunal KapoorRaghuvendra"
Don Jon,tt2229499,2013,6.5,"Comedy, Drama, Romance","Joseph Gordon-LevittJon, Scarlett JohanssonBarbara, Julianne MooreEsther"
Happy New Year,tt2461132,2014,5,"Action, Comedy, Crime","Shah Rukh KhanChandramohan 'Charlie' Sharma, Deepika PadukoneMohini Joshi, Abhishek BachchanNandu Bhide…"
